State,District,Rainfall(Total),Rainfall Recharge,Groundwater Recharge (ham),Surface Water Irrigation ,Ground Water Irrigation ,Fresh Total Ground Water Avialable,Saline Ground Water Avialable,Year
ANDAMAN AND NICOBAR ISLANDS,N & M ANDAMAN,3015.7,16376.4,16528.3,0,0,14875.4,0,2024
ANDAMAN AND NICOBAR ISLANDS,NICOBAR,2805.2,11344.6,11360.8,0,0,9911.13,313.56,2024
ANDAMAN AND NICOBAR ISLANDS,SOUTH ANDAMAN,3015.7,10777.3,10797.7,0,0,9717.96,0,2024
ARUNACHAL PRADESH,ANJAW,0,0,0,0,0,0,0,2024
ARUNACHAL PRADESH,CHANGLANG,2222.9,19742.2,30107.5,10336.2,29.16,27096.8,0,2024
ARUNACHAL PRADESH,DIBANG VALLEY,0,0,0,0,0,0,0,2024
ARUNACHAL PRADESH,EAST KAMENG,2026.3,11144.7,17566,6383.14,32.47,15809.4,0,2024
ARUNACHAL PRADESH,EAST SIANG,4398.6,70296.7,80011.6,9924.6,40.16,71985,0,2024
ARUNACHAL PRADESH,KURUNG KUMEY,0,0,0,0,0,0,0,2024
ARUNACHAL PRADESH,LOHIT,2998.2,105537,121672,17398.2,15.32,109377,0,2024
ARUNACHAL PRADESH,LOWER DIBANG VALLEY,3996.1,77315.6,79625.5,2235.73,74.13,71662.9,0,2024
ARUNACHAL PRADESH,LOWER SUBANSIRI,1444.4,2643.04,5009.69,2591.35,7.05,4485.54,0,2024
ARUNACHAL PRADESH,PAPUM PARE,3199.6,9018.4,10824,3283.09,5.96,9593.23,0,2024
ARUNACHAL PRADESH,TAWANG,0,0,0,0,0,0,0,2024
ARUNACHAL PRADESH,TIRAP,2907.3,6396.06,8668.97,2269.39,2.47,7802.07,0,2024
ARUNACHAL PRADESH,UPPER SIANG,0,0,0,0,0,0,0,2024
ARUNACHAL PRADESH,UPPER SUBANSIRI,1735.4,213.79,2699.78,2480.05,5.94,2429.81,0,2024
ARUNACHAL PRADESH,WEST KAMENG,2388.7,2596.03,3352.26,755.58,0.53,3017.04,0,2024
ARUNACHAL PRADESH,WEST SIANG,2891.9,5323.37,6199.6,874.08,1.65,5579.64,0,2024
ASSAM,BAKSA,3274.6,125545,137558,9554.57,970.78,1925301,0,2024
ASSAM,BARPETA,2051.5,79517.1,90152.4,379.76,10441.6,795575,0,2024
ASSAM,BONGAIGAON,3102.4,46133.4,50673.9,636.1,6462.26,589655,0,2024
ASSAM,CACHAR,3311.9,85892.4,55235.1,2833.97,0,433929,0,2024
ASSAM,CHIRANG,3218.7,91989.2,91412.4,350.16,414.54,1505508,0,2024
ASSAM,DARRANG,1951.2,47403.9,53985.7,103.42,1757.18,1293222,0,2024
ASSAM,DHEMAJI,2859.3,134480,103936,16.27,996.37,3749415,0,2024
ASSAM,DHUBRI,2752.8,87359.3,99176.6,784.05,8635,726390,0,2024
ASSAM,DIBRUGARH,2649.4,135484,132598,44.13,688.03,3982117,0,2024
ASSAM,DIMA HASAO,2791.8,62795.4,62878.1,,6.47,408040,0,2024
ASSAM,GOALPARA,2583.2,68066.1,60922.5,657.68,5165.73,1010741,0,2024
ASSAM,GOLAGHAT,1751.7,105069,106034,356.73,1095.98,919080,0,2024
ASSAM,HAILAKANDI,2838.3,27226.5,26388.3,59.55,0.34,171681,0,2024
ASSAM,JORHAT,2265.3,112381,76732.7,18839.8,2730.77,1987808,0,2024
ASSAM,KAMRUP,1896.2,81407.8,87873.4,11210.2,4190.52,1533211,0,2024
ASSAM,KAMRUP (M),1813.4,19754.9,16819.9,144.62,512.33,704982,0,2024
ASSAM,KARBI ANGLONG,1122.2,141427,130546,,207.23,1930951,0,2024
ASSAM,KARIMGANJ,3751,60369.4,42275.8,184.68,22.45,277552,0,2024
ASSAM,KOKRAJHAR,3102.4,161038,160531,949.33,3240.77,1519545,0,2024
ASSAM,LAKHIMPUR,3270.3,114775,85149.8,0,2238,530437,0,2024
ASSAM,MORIGAON,1884.8,41942.4,42341,2051.43,2066.6,1225931,0,2024
ASSAM,NAGAON,1884.8,115901,129096,15337.3,14300.3,1300749,0,2024
ASSAM,NALBARI,1896.2,30147.9,37595.9,,3436,621292,0,2024
ASSAM,SIBSAGAR,2412.4,101104,97133.4,19.45,1025.61,1260037,0,2024
ASSAM,SONITPUR,1978.7,169483,153172,2225.27,3422.4,6042706,0,2024
ASSAM,TINSUKIA,2322.6,134968,128858,1784.96,2283.52,1962705,0,2024
ASSAM,UDALGURI,1957.8,65519.9,53442.3,487.61,1482.45,1549837,0,2024
BIHAR,ARARIA,1632.2,79417.8,154531,26425.4,6691.86,141182,0,2024
BIHAR,ARWAL,874.4,10225,21129.9,4902.91,2398.19,19075.2,0,2024
BIHAR,AURANGABAD,974.9,48964.1,131132,36974.4,9039.58,118754,0,2024
BIHAR,BANKA,974.9,46328.4,72398.8,12417.4,6719.06,65462.9,0,2024
BIHAR,BEGUSARAI,1090.7,46970,56281.6,877.84,7177.92,50653.4,0,2024
BIHAR,BHAGALPUR,1207.9,63767.5,79788.7,3161.11,8588.62,72112.6,0,2024
BIHAR,BHOJPUR,1051.5,48491.5,89435.4,13682.3,10211.5,80491.8,0,2024
BIHAR,BUXAR,975.4,30170.2,64652.3,12199.7,6971.56,58367.2,0,2024
BIHAR,DARBHANGA,1123.6,60802.5,78109.8,1859.65,9214.74,70422.2,0,2024
BIHAR,EAST CHAMPARAN,1197.7,93756.7,193737,36837,18528.4,176663,0,2024
BIHAR,GAYA,1003.9,92900,134681,9674.53,15984.2,121605,0,2024
BIHAR,GOPALGANJ,1135.5,46768.3,105702,18181.7,15681.8,95682.7,0,2024
BIHAR,JAMUI,1107.3,34727.3,49872.8,2032.12,4203.02,45012.4,0,2024
BIHAR,JEHANABAD,936.6,17900.9,34597.1,3736.52,6965.86,31147.6,0,2024
BIHAR,KAIMUR,1126.3,47976,81825.2,16848.6,8627.71,74653.6,0,2024
BIHAR,KATIHAR,1342.7,86615.9,119703,5854.79,12362.8,109422,0,2024
BIHAR,KHAGARIA,1233.9,40716.6,47985.6,339.29,6080.24,44158.2,0,2024
BIHAR,KISHANGANJ,2090.6,62116.2,67996.8,440.95,4884.8,62664.8,0,2024
BIHAR,LAKHISARAI,1146.8,22975.5,43070.3,6484.33,3039.28,38763.3,0,2024
BIHAR,MADHEPURA,1392.7,42681.3,108652,28226.6,9985.14,98038.4,0,2024
BIHAR,MADHUBANI,1293.3,87218,143570,13320,12586.4,130737,0,2024
BIHAR,MUNGER,1146.8,27140.6,41904.8,8948.17,2977.92,37833.6,0,2024
BIHAR,MUZAFFARPUR,1154.5,78384.7,123462,10670.7,17875.1,111162,0,2024
BIHAR,NALANDA,1002.2,46692.8,68770.2,3034.4,11349.7,62276.4,0,2024
BIHAR,NAWADA,1041.8,48906.5,73094.1,5765.52,8837.4,65961.4,0,2024
BIHAR,PATNA,1074.8,76334.6,108716,6532.48,13474.9,98029.8,0,2024
BIHAR,PURNEA,1598.2,85381.3,169605,27579.8,15551.4,153922,0,2024
BIHAR,ROHTAS,949.1,68874.6,126082,25348.7,8066.43,114671,0,2024
BIHAR,SAHARSA,1692.9,46112.6,68751.3,5802.07,5871.82,63348.6,0,2024
BIHAR,SAMASTIPUR,1192.3,70777.4,88644.2,1417.28,13298.6,79958,0,2024
BIHAR,SARAN,1123.8,57544.2,111497,24677,9312.22,100796,0,2024
BIHAR,SHEIKHPURA,1008.4,13536.5,18704.2,1171.6,2518.6,16973.2,0,2024
BIHAR,SHEOHAR,1293.1,12587.1,18074.6,3149.28,2208.87,16443.4,0,2024
BIHAR,SITAMARHI,1293.1,61674.5,70842.5,1601.63,6240.58,65866.8,0,2024
BIHAR,SIWAN,1135.4,50020.5,106397,17574.6,13189.2,96578.7,0,2024
BIHAR,SUPAUL,1273.8,53869.6,111425,10438.3,8687.89,101448,0,2024
BIHAR,VAISHALI,1176.5,52522.6,80439.7,9305.58,10731.5,72896.5,0,2024
BIHAR,WEST CHAMPARAN,1472,97493.9,185349,32340.7,11325.3,168863,0,2024
CHANDIGARH,CHANDIGARH,1009.8,1417.72,5318.43,1528.84,119.15,4786.58,0,2024
CHHATTISGARH,BALOD,1122.9,16837.4,40537.5,8208.43,8681.73,85005.8,0,2024
CHHATTISGARH,BALODA BAZAR,1396.683,25446.2,68035.7,29868.8,7316.8,137046,0,2024
CHHATTISGARH,BALRAMPUR,1317,48109,53542.2,1014.99,3300.03,150836,0,2024
CHHATTISGARH,BASTAR,1362.6,24018.4,27585.4,99.87,1699.43,97749.9,0,2024
CHHATTISGARH,BEMETARA,1122.9,18517.7,47559.8,8872.33,13988.1,94897.2,0,2024
CHHATTISGARH,BIJAPUR,1528.1,50074.2,52298.9,7.37,1338.85,134615,0,2024
CHHATTISGARH,BILASPUR,1114.455,22511.8,51574.3,14128.6,8890.33,105340,0,2024
CHHATTISGARH,DANTEWADA,1327.9,24821.2,26944.7,2.18,1679.78,84007.6,0,2024
CHHATTISGARH,DHAMTARI,1385.3,21550,69236.9,23095.6,15427.3,108776,0,2024
CHHATTISGARH,DURG,1122.9,14602.1,43228.4,12191.7,9285.43,82247.4,0,2024
CHHATTISGARH,GARIABAND,1385.3,22506.7,37123.8,3230.22,6738.91,82636.6,0,2024
CHHATTISGARH,GOURELA-PENDRA-MARWAHI,1229.8,11505.2,14051.8,446.75,998.15,43248.4,0,2024
CHHATTISGARH,JANJGIR-CHAMPA,1386,12467.6,48623.2,29718.9,2937.43,84373.6,0,2024
CHHATTISGARH,JASHPUR,1482.74,29332.6,36683.4,535.29,4709.15,117520,0,2024
CHHATTISGARH,KABIRDHAM,1117,34088.9,73122.2,23379.3,12261.9,142352,0,2024
CHHATTISGARH,KANKER,1397.506,57175.7,71204.3,3317.34,9832.95,183682,0,2024
CHHATTISGARH,KHAIRAGARH-CHHUIKHADAN_GANDAI,1208.7,9196.4,19737.5,4220.54,4083.69,45246.8,0,2024
CHHATTISGARH,KONDAGAON,1362.4,33614.8,38999.4,386.17,4166.01,104731,0,2024
CHHATTISGARH,KORBA,1392,39601.6,49902.8,390.56,2771.7,126562,0,2024
CHHATTISGARH,KOREA,1317,9988.96,15215.7,2751.37,1163.66,27701.9,0,2024
CHHATTISGARH,MAHASAMUND,1406.242,47561.5,102936,30708.6,18284,177027,0,2024
CHHATTISGARH,MANENDRAGARH-CHIRMIRI_BHARATPUR,1317,46292.5,49937.9,1169.09,1527.14,108126,0,2024
CHHATTISGARH,MOHLA-MANPUR_AMBAGARHCHOWKI,1208.7,12467.7,16827.1,493.14,1911.5,44681,0,2024
CHHATTISGARH,MUNGELI,1351,9626.6,26845.6,8118.19,3329.94,54772.1,0,2024
CHHATTISGARH,NARAYANPUR,1404.1,26900.8,28046,308.88,402.39,94243.3,0,2024
CHHATTISGARH,RAIGARH,1466,36242.6,42629.6,1019.75,2761.16,110109,0,2024
CHHATTISGARH,RAIPUR,1376.335,19614.8,50838.5,17054.4,6587.68,100472,0,2024
CHHATTISGARH,RAJNANDGAON,1208.7,19690.8,39358.7,3762.57,8231.46,84190.3,0,2024
CHHATTISGARH,SAKTI,1386,9203.74,32962.5,17141.6,4415.41,58227.1,0,2024
CHHATTISGARH,SARANGARH-BILAIRAGH,1418.409,14485.2,24702.9,5391.65,2621.29,64973.2,0,2024
CHHATTISGARH,SUKMA,1403.847,44109.3,45924.8,19.46,756.61,145608,0,2024
CHHATTISGARH,SURAJPUR,1241.805,29341.6,40857.6,1234.65,8622.11,86541.2,0,2024
CHHATTISGARH,SURGUJA,1369.155,35392.4,43185.9,1151.05,5211.28,117738,0,2024
DADRA AND NAGAR HAVELI,DADRA NAGAR HAVELI,2265.7,5479.19,9820.05,2067.66,266.58,9095.78,0,2024
DAMAN AND DIU,DAMAN,2194.781,1875.7,2536.66,0,62.38,2409.83,0,2024
DAMAN AND DIU,DIU,848.237,143.1,186.82,0,12.24,177.48,0,2024
DELHI,CENTRAL,652,460.87,2566.99,0,68.85,2310.29,0,2024
DELHI,EAST,652,146.75,1668.32,0,33.02,1501.49,0,2024
DELHI,NAZUL LAND,652,390.52,571.42,0,64.02,514.28,0,2024
DELHI,NEW DELHI,652,1118.79,3028.98,0,190.1,2726.07,0,2024
